"borough","business","stars","plus_code","address","latitude","longitude"
"Brand Russell Pharmacy & Barnet Travel Cli","Brand Russell Pharmacy & Barnet Travel Clinic",4.1,"JRVP+2M","280 E Barnet Rd, London, Barnet EN4 8T",NA,NA
"Boots Pharm","Boots Pharmacy",NA,"MXM8+MJ","81, The Pavilion, High St, Waltham Cross EN8 7B",NA,NA
"N R PATEL CHEM","N R PATEL CHEMIST",5,"JV7H+3F","153 Bowes Rd, London N13 4S",NA,NA
"Lex Pharm","Lex Pharmacy",4.6,"PW7V+GJ","Rosedale Way, Cheshunt, Waltham Cross EN7 6Q",NA,NA
"Warwick Pharm","Warwick Pharmacy",3.6,"JV4G+W3","50 Bounds Green Rd, London N11 2E",NA,NA
"Hatch Pharm","Hatch Pharmacy",4.2,"J294+JF","30 Hatch Ln, London E4 6L",NA,NA
"Clockwork Pharmacy & Travel Vaccination Cli","Clockwork Pharmacy & Travel Vaccination Clinic",4.6,"JV4G+RH","9, Queens Parade, Brownlow Rd, London N11 2D",NA,NA
"Woodhouse Pharmacy & Travel Cli","Woodhouse Pharmacy & Travel Clinic",5,"JR7R+23","209 Woodhouse Rd, London N12 9A",NA,NA
"Day Lewis Pharmacy Broxbou","Day Lewis Pharmacy Broxbourne",4.4,"PXF9+7H","Day Lewis Pharmacy (ABC, Vancouver Rd, Broxbourne EN10 6F",NA,NA
"Mount Pharmacy Travel Clinic & Ear Wax Removal & Weight Loss Cen","Mount Pharmacy Travel Clinic & Ear Wax Removal & Weight Loss Centre",4.6,"JX6J+7W","80 Chingford Mount Rd, London E4 9A",NA,NA
"Chase Farm Hospi","Chase Farm Hospital",3.8,"MV8W+QV","127 The Ridgeway, Enfield EN2 8J",NA,NA
"Morrisons Pharm","Morrisons Pharmacy",1.9,"JX4J+R2","7 Salisbury Hall Gdns, Chingford Rd, London E4 8S",NA,NA
"Cooper Chemi","Cooper Chemists",4.9,"JV87+GW","364 Bowes Rd, Arnos Grove, London N11 1A",NA,NA
"Walbrook Pharm","Walbrook Pharmacy",4.8,"JVFG+MP","44 Cannon Hill, London N14 6L",NA,NA
"Rosewood Pharmacy - Chingf","Rosewood Pharmacy - Chingford",4.6,"J2J3+H8","2C Station Rd, London E4 7B",NA,NA
"Whitefield Chem","Whitefield Chemist",4.9,"PX68+24","76 High St, Cheshunt, Waltham Cross EN8 0A",NA,NA
"Reena pharmacy and Travel Cli","Reena pharmacy and Travel Clinic",3.4,"JV5Q+6V","352 High Rd, London N22 8J",NA,NA
"Cristal's Pharm","Cristal's Pharmacy",4.4,"PX28+C8","4 Lynton Parade, Turners Hill, Cheshunt, Waltham Cross EN8 8L",NA,NA
"Punni Pharm","Punni Pharmacy",4.6,"PX57+WJ","49 High Street Cheshunt, Cheshunt, Waltham Cross EN8 0B",NA,NA
"Alpha Pharm","Alpha Pharmacy",4.5,"JV2P+WP","18 Commerce Rd, London N22 8E",NA,NA
"Tesco Pharm","Tesco Pharmacy",4.1,"JR4W+R4","Coppetts Centre, N Circular Rd., London N12 0S",NA,NA
"Pharmoc","Pharmocare",5,"JW6M+RW","107 Fore St, London N18 2X",NA,NA
"Boots Pharm","Boots Pharmacy",1,"JVM9+8R","78 Chase Side, London N14 5P",NA,NA
"Asda Southgate Circus Supercen","Asda Southgate Circus Supercentre",3.6,"JVM9+QF","130 Chase Side, London N14 5P",NA,NA
"Abbott Pharm","Abbott Pharmacy",3.8,"JV22+2V","101 Colney Hatch Ln, London N10 1L",NA,NA
"Eagle House Surg","Eagle House Surgery",1.7,"JXX3+5G","Eagle House Surgery, 291 High St, Enfield EN3 4D",NA,NA
"Duncans Pharm","Duncans Pharmacy",3,"FXHQ+62","195 Greenwich High Rd, London SE10 8J",NA,NA
"Chemists N.H.S Prescripti","Chemists N.H.S Prescriptions",1,"FXFP+72","Blackheath Hill, London SE10 8P",NA,NA
"Mangal Pharm","Mangal Pharmacy",3.5,"G224+79","8 Green Place, London SE10 0P",NA,NA
"P E Logan Pharm","P E Logan Pharmacy",3.9,"F2P4+9Q","209 Trafalgar Rd, London SE10 9E",NA,NA
"Day Lewis Pharmacy Lewis","Day Lewis Pharmacy Lewisham",2.3,"FX8H+QC","60 Loampit Hill, London SE13 7S",NA,NA
"Britannia Pharm","Britannia Pharmacy",2.8,"FXVQ+J2","Unit 9 asda centre, 151 E Ferry Rd, London E14 3B",NA,NA
"Amal Pharm","Amal Pharmacy",4.1,"F2V7+X9","166, Metcalfe Court, London SE10 0E",NA,NA
"Rose Pharmacy, Weight Loss and Travel Cli","Rose Pharmacy, Weight Loss and Travel Clinic",4,"FXJH+8P","24 Creek Rd, London SE8 3B",NA,NA
"Asda Charlton Superst","Asda Charlton Superstore",3.6,"F2QF+H3","Bugsby Way, London SE7 7S",NA,NA
"GoodWill Pharm","GoodWill Pharmacy",4.7,"F2R8+MP","4 Trathen Square, London SE10 0B",NA,NA
"Boots Pharm","Boots Pharmacy",3.4,"F2P4+37","198 Trafalgar Rd, London SE10 9E",NA,NA
"",NA,4.6,"FXRH+FH","100 Spindrift Ave, London E14 9W",NA,NA
"Bo","Boots",3.7,"F2QF+HW","Greenwich shopping Park, Bugsby's Way, New Charlton, London SE7 7S",NA,NA
"Geepharm Chem","Geepharm Chemist",2.9,"FXFP+72","3 Blackheath Hill, London SE10 8P",NA,NA
"Allens Pharm","Allens Pharmacy",4.4,"FXXQ+7J","19 Castalia Square, London E14 3P",NA,NA
"Terra Pharma - Greenwich Online Pharm","Terra Pharma - Greenwich Online Pharmacy",NA,"FXHQ+62","195 Greenwich High Rd, London SE10 8J",NA,NA
"",NA,3,"F2QF+HX","Bugsby's Way, New Charlton, London SE7 7S",NA,NA
"ASDA Pharm","ASDA Pharmacy",4.3,"F2QC+GW","Bugsby Way, London SE7 7S",NA,NA
"Nightingale Pharm","Nightingale Pharmacy",4.2,"FXHF+2P","92 Deptford High St, London SE8 4R",NA,NA
"MediRush Pharm","MediRush Pharmacy",4.6,"GW6R+MG","Shop No. 116, Railway Arches, Chapman St, London E1 2P",NA,NA
"MediRush Pharm","MediRush Pharmacy",4.6,"GW6R+MG","Shop No. 116, Railway Arches, Chapman St, London E1 2P",NA,NA
"MediRush Pharm","MediRush Pharmacy",4.6,"GW6R+MG","Shop No. 116, Railway Arches, Chapman St, London E1 2P",NA,NA
"MediRush Pharm","MediRush Pharmacy",4.6,"GW6R+MG","Shop No. 116, Railway Arches, Chapman St, London E1 2P",NA,NA
"Lockyer Pharm","Lockyer Pharmacy",4.6,"FXM9+C8","252 Evelyn St, London SE8 5B",NA,NA
"Night Pleas","Night Pleasure",2.3,"G22W+W9","10 Constance St, London E16 2D",NA,NA
"Krisons Chem","Krisons Chemist",3.4,"FXFF+WC","506 New Cross Rd, London SE14 6T",NA,NA
"Village Pharmacy - Travel and Ear Wax Removal Cli","Village Pharmacy - Travel and Ear Wax Removal Clinic",4.7,"F2JP+PH","9 The Village, London SE7 8U",NA,NA
"Blackheath Standard Pharmacy - Travel Cli","Blackheath Standard Pharmacy - Travel Clinic",4.5,"F2H9+2J","182 Westcombe Hill, London SE3 7D",NA,NA
"Carsil Perfumery Pharm","Carsil Perfumery Pharmacy",4.3,"GWWV+HV","Sylvester Rd, London E8 1H",NA,NA
"Marijak ","Marijak Ltd",4.3,"GWWV+HV","319 Mare St, London E",NA,NA
"Regal Pharm","Regal Pharmacy",5,"HW2X+C8","59 Lower Clapton Rd, Lower Clapton, London E5 0N",NA,NA
"HACKNEY PHARMACY & TRAVEL CLINIC CENT","HACKNEY PHARMACY & TRAVEL CLINIC CENTRE.",2.9,"HW7X+Q5","15a, Urban Hive, Theydon Rd, London E5 9B",NA,NA
"Clockwork Pharmacy & Travel Vaccination Cli","Clockwork Pharmacy & Travel Vaccination Clinic",4.6,"GWXW+J2","398, 400 Mare St, London E8 1H",NA,NA
"Carsil Chemists, Marijak L","Carsil Chemists, Marijak Ltd.",4.5,"GWWV+HV","319 Mare St, London E8 1E",NA,NA
"MediRush Pharm","MediRush Pharmacy",4.7,"GW6R+MG","Shop No. 116, Railway Arches, Chapman St, London E1 2P",NA,NA
"Bo","Boots",3.4,"GWXW+G2","388 Mare St, London E8 1H",NA,NA
"Haggerston Pharmacy and Travel Vaccine and Health cen","Haggerston Pharmacy and Travel Vaccine and Health centre",4.7,"GWQG+7V","201 Haggerston Rd, London E8 4F",NA,NA
"Kingsland Pharmacy + Travel Cli","Kingsland Pharmacy + Travel Clinic",4.3,"GWRF+JJ","406 Kingsland Rd, London E8 4A",NA,NA
"Sonigra Pharm","Sonigra Pharmacy",4.6,"GWRW+2F","44a, 44b Well St, London E9 7P",NA,NA
"Kalpesh Pharm","Kalpesh Pharmacy",5,"HX46+88","201 Rushmore Rd, Lower Clapton, London E5 0H",NA,NA
"Clockwork Pharmacy & Travel Vaccination Cli","Clockwork Pharmacy & Travel Vaccination Clinic",4.5,"GXV3+WH","238 Well St, London E9 6Q",NA,NA
"Safedale Pharmacy, Weight Loss and Travel Cli","Safedale Pharmacy, Weight Loss and Travel Clinic",4.6,"HW2X+C8","59 Lower Clapton Rd, Lower Clapton, London E5 0N",NA,NA
"Tesco Pharm","Tesco Pharmacy",2.8,"GWWW+QV","55 Morning Ln, London E9 6N",NA,NA
"Clarks Chemist - Alphega Pharm","Clarks Chemist - Alphega Pharmacy",3.4,"GWPQ+WH","68 Broadway Market, London E8 4Q",NA,NA
"Silverfields: Pharmacy & Perfum","Silverfields: Pharmacy & Perfumery",4.3,"GXX5+GH","141 Homerton High St, London E9 6A",NA,NA
"Devs Chem","Devs Chemist",2,"GWXJ+8V","103A Dalston Ln, London E8 1N",NA,NA
"Norlington Chemist ","Norlington Chemist Ltd",3.2,"GWPQ+83","3 Broadway Market, London E8 4P",NA,NA
"J Edmunds Pharm","J Edmunds Pharmacy",3.6,"GWXF+4P","47 Kingsland High St, London E8 2J",NA,NA
"Bee Pharm","Bee Pharmacy",3.8,"GWMR+2V","517 Hackney Rd, Cambridge Heath, London E2 9E",NA,NA
"Guardian Pharmacy and Travel Cen","Guardian Pharmacy and Travel Centre",4.9,"GWVF+2M","448 Kingsland Rd, London E8 4A",NA,NA
"Clockwork Pharmacy & Travel Vaccination Cli","Clockwork Pharmacy & Travel Vaccination Clinic",4.9,"GXQ4+84","Victoria Park, 215-217 Victoria Park Rd, London E9 7H",NA,NA
"Friends Pharm","Friends Pharmacy",4.6,"HW2X+J8","46 Lower Clapton Rd, Lower Clapton, London E5 0R",NA,NA
"Bees Pharmacy and Travel Cli","Bees Pharmacy and Travel Clinic",5,"GXW7+4W","261 Wick Rd, London E9 5D",NA,NA
"Bees Pharmacy and Travel Cli","Bees Pharmacy and Travel Clinic",5,"GXW7+4W","261 Wick Rd, London E9 5D",NA,NA
"Spring Pharmacy - Pharmacy & Travel Cli","Spring Pharmacy - Pharmacy & Travel Clinic",4.2,"GWM9+9V","233 Hoxton St, London N1 5L",NA,NA
"Tesco Superst","Tesco Superstore",3.3,"GWWW+QW","Tesco Stores Ltd, 55 Morning Ln, London E9 6N",NA,NA
"Borno Pharmacy Bethnal Gr","Borno Pharmacy Bethnal Green",3,"GWJV+CG","204 Cambridge Heath Rd, Cambridge Heath, London E2 9N",NA,NA
"Day Lewis Pharmacy Moved to :253 Whitechapel Rd, London E1 ","Day Lewis Pharmacy Moved to :253 Whitechapel Rd, London E1 1DB",3,"GW9P+CH","195 Whitechapel Rd, London E1 1D",NA,NA
"Day Lewis Pharmacy Clap","Day Lewis Pharmacy Clapton",3.4,"HW5Q+83","Day Lewis Pharmacy, 14 Kenninghall Rd, Lower Clapton, London E5 8B",NA,NA
"Day Lewis Pharmacy Stoke Newing","Day Lewis Pharmacy Stoke Newington",2.7,"HW3F+FX","77 Stoke Newington Rd, London N16 8A",NA,NA
"F.A. STRA","F.A. STRANGE",3.8,"HW4V+9Q","185 Lower Clapton Rd, Lower Clapton, London E5 8E",NA,NA
"Superd","Superdrug",3.9,"GWXG+37","Unit 10/11, Dalston Cross Shopping Centre, Kingsland High St, London E8 2L",NA,NA
"Regal Pharm","Regal Pharmacy",4.9,"HX34+67","50 Chatsworth Rd, Lower Clapton, London E5 0L",NA,NA
"Boots Pharm","Boots Pharmacy",5,"GWXW+G2","388 Mare St, London E8 1H",NA,NA
"Bo","Boots",3.8,"GWXF+FW","84 Kingsland High St, London E8 2N",NA,NA
"Bees Pharmacy and Travel Cli","Bees Pharmacy and Travel Clinic",4.6,"HX46+88","201 Rushmore Rd, Lower Clapton, London E5 0H",NA,NA
"Clockwork Pharmacy & Travel Vaccination Cli","Clockwork Pharmacy & Travel Vaccination Clinic",5,"GXV3+P7","239 Well St, London E9 6R",NA,NA
"Mahesh Chemist & Travel Cli","Mahesh Chemist & Travel Clinic",4.8,"Amigable","111 Newington Green Rd, London N1 4Q",NA,NA
"Columbia Pharmacy - Alphega Pharm","Columbia Pharmacy - Alphega Pharmacy",3.5,"GWHH+FV","104 Columbia Rd, London E2 7Q",NA,NA
"UniPharm Pharm","UniPharm Pharmacy",3.6,"GWPF+35","253 Kingsland Rd, London E2 8A",NA,NA
"Judds Pharm","Judds Pharmacy",4.7,"GWH8+RG","73 Pitfield St, London N1 6B",NA,NA
"Milest","Milestars",NA,"GXX5+HH","141 Homerton High St, London E9 6A",NA,NA
"Britannia Pharm","Britannia Pharmacy",3.4,"GXH2+87","80 Roman Rd, Globe Town, London E2 0P",NA,NA
"Britannia Pharm","Britannia Pharmacy",3.4,"GXH2+87","80 Roman Rd, Globe Town, London E2 0P",NA,NA
"Megtraco Pharmacy - Alphega Pharm","Megtraco Pharmacy - Alphega Pharmacy",5,"GWVF+2J","448 Kingsland Rd, London E8 4A",NA,NA
"The Old Maids Pharm","The Old Maids Pharmacy",4.7,"GWGP+M9","321 Bethnal Grn Rd, London E2 6A",NA,NA
"Phlo Digital Pharm","Phlo Digital Pharmacy",3.1,"GWMR+G9","Unit 13, Containerville, 35 Corbridge Cres, London E2 9E",NA,NA
"Superdrug Pharm","Superdrug Pharmacy",2,"GWXG+3G","Unit 10/11, Dalston Cross Shopping Centre, Kingsland High St, London E8 2L",NA,NA
"Silverfields Pharm","Silverfields Pharmacy",4.9,"HX28+M5","5 Kingsmead Way, London E9 5Q",NA,NA
"AsvaCare Pharm","AsvaCare Pharmacy",3.4,"HW7R+H6","97 Upper Clapton Rd, London E5 9B",NA,NA
"AsvaCare Pharm","AsvaCare Pharmacy",3.4,"HW7R+H6","97 Upper Clapton Rd, London E5 9B",NA,NA
"Florida Pharmacy (Travel Clinic - Yellow Fever Centre + Ear Wax Removal Clin","Florida Pharmacy (Travel Clinic - Yellow Fever Centre + Ear Wax Removal Clinic)",4.1,"GWGP+J5","307 Bethnal Grn Rd, London E2 6A",NA,NA
"New North Pharm","New North Pharmacy",4.9,"GWQ5+74","297 New N Rd, London N1 7A",NA,NA
"Murrays Chemist & Travel Cli","Murrays Chemist & Travel Clinic",4.8,"GWJ6+CF","98 Murray Grove, London N1 7Q",NA,NA
"Massingham Chemist and Travel Vaccine Cli","Massingham Chemist and Travel Vaccine Clinic",4.4,"GXH3+QF","199 Roman Rd, Bethnal Green, London E2 0Q",NA,NA
"Lincoln Pharmacy - Travel Clinic & Weight Loss Cli","Lincoln Pharmacy - Travel Clinic & Weight Loss Clinic",4.2,"GX9G+73","124 St Paul's Way, London E3 4Q",NA,NA
"Homerton University Hospi","Homerton University Hospital",3.4,"HX23+7P","Homerton Row, London E9 6S",NA,NA
"Boots Pharm","Boots Pharmacy",NA,"GWXF+CW","84 Kingsland High St, London E8 2N",NA,NA
"Hammersmith Pharm","Hammersmith Pharmacy",4.2,"FQQG+8X","109 Fulham Palace Rd, London W6 8J",NA,NA
"kensington Aesthetics Pharm","kensington Aesthetics Pharmacy",5,"FQQW+69","Londres W14 9P",NA,NA
"Boots Pharm","Boots Pharmacy",2.3,"FQMH+VW","200 Fulham Palace Rd, London W6 9P",NA,NA
"Oza Chemist (NHS & Private Prescription) - Ear Wax Microsuction Cli","Oza Chemist (NHS & Private Prescription) - Ear Wax Microsuction Clinic",4.7,"FRJ3+38","9 Fulham Broadway, London SW6 1A",NA,NA
"Fulham Palace Pharmacy & Travel Clinic Plus NHS/private servi","Fulham Palace Pharmacy & Travel Clinic Plus NHS/private services",3.4,"FQGM+CX","331 Fulham Palace Rd, London SW6 6T",NA,NA
"Myhealth Pharm","Myhealth Pharmacy",4.2,"FRJ2+67","5, Regal Centre, 402 North End Rd, London SW6 1L",NA,NA
"North End Pharm","North End Pharmacy",4.2,"FQQV+RF","100A North End Rd, London W14 9E",NA,NA
"Fulham Pharm","Fulham Pharmacy",3.9,"FQGW+PP","608 Fulham Rd., London SW6 5R",NA,NA
"Pyramid Pharm","Pyramid Pharmacy",2.6,"FQQW+5C","4, 160 North End Rd, London W14 9P",NA,NA
"Kanari Pharm","Kanari Pharmacy",4.6,"FQFV+XC","684 Fulham Rd., London SW6 5S",NA,NA
"Day Lewis Pharmacy Ful","Day Lewis Pharmacy Fulham",2.5,"FRF5+4C","121 Wandsworth Bridge Rd., London SW6 2T",NA,NA
"Fontain Pharm","Fontain Pharmacy",3.4,"FQJP+HV","290 Munster Rd, London SW6 6B",NA,NA
"Flux Trimm","Flux Trimmers",NA,"FRH5+5X","638 King's Rd, London SW6 2D",NA,NA
"BEST AM 2","BEST AM 2 PM",3.7,"FQQV+W9","96 North End Rd, London W14 9E",NA,NA
"Kanari ","Kanari Ltd",5,"FQFV+W9","682 Fulham Rd., London SW6 5S",NA,NA
"Superdrug Pharm","Superdrug Pharmacy",2.6,"FQRC+XW","68 King St, London W6 9H",NA,NA
"Superdrug Pharm","Superdrug Pharmacy",2.7,"FQPX+54","317 North End Rd, London SW6 1N",NA,NA
"Zafash 365 Days Pharm","Zafash 365 Days Pharmacy",3.7,"FRQ5+QX","233, 235 Old Brompton Rd, London SW5 0E",NA,NA
"Boots Pharm","Boots Pharmacy",3,"FRJ3+38","Retail Centre, Unit 7 Fulham Broadway, London SW6 1B",NA,NA
"Doctor Care Pharm","Doctor Care Pharmacy",4.5,"FQRP+2J","3 Margravine Gardens, London W6 8R",NA,NA
"C E Harrod Chemist - Part of Pearl Chemist Gr","C E Harrod Chemist - Part of Pearl Chemist Group",4.5,"FRF2+6V","207 New Kings Rd, London SW6 4S",NA,NA
"Lloyds Pharm","Lloyds Pharmacy",1.6,"FQPH+WW","Opd Imp-Charing Cross Hosp, Fulham Palace Rd, London W6 8R",NA,NA
"Bo","Boots",3.5,"FRJ3+38","Retail Centre, Unit 7 Fulham Broadway, London SW6 1B",NA,NA
"Bo","Boots",3.8,"FQVF+36","43 King St, London W6 9H",NA,NA
"H. Lloyd Chem","H. Lloyd Chemist",3.2,"Amigable","5 Hammersmith Rd, London W14 8X",NA,NA
"Superd","Superdrug",3.9,"FQPX+54","317 North End Rd, London SW6 1N",NA,NA
"Boots Pharm","Boots Pharmacy",1,"FQVF+25","43 King St, London W6 9H",NA,NA
"Boots Pharm","Boots Pharmacy",1,"FQVF+25","43 King St, London W6 9H",NA,NA
"PharmProfessionals Education and training speciali","PharmProfessionals Education and training specialists",NA,NA,"020 3633 949",49.5022571,8.4684512
"Tesco Pharm","Tesco Pharmacy",3.7,"FQXG+2C","180 Shepherds Bush Rd, London W6 7N",NA,NA
"Jhoots Pharmacy Hammersm","Jhoots Pharmacy Hammersmith",2.5,"GQ2F+59","Health Centre, Richford Gate, 49 Richford St, London W6 7H",NA,NA
"Fontain Pharm","Fontain Pharmacy",NA,NA,"020 7385 035",45.8097528,14.7425657445546
"Earls Court Chem","Earls Court Chemist",3.8,"FRR4+XG","206 Earls Ct Rd, London SW5 9Q",NA,NA
"Healthside Pharm","Healthside Pharmacy",3.9,"FQXH+W3","90 Shepherds Bush Rd, London W6 7P",NA,NA
"Savers Health & Bea","Savers Health & Beauty",4.5,"FQJX+VV","334 North End Rd, London SW6 1N",NA,NA
"Sainsbur","Sainsbury's",4.1,"FQVC+6F","3, Kings Mall, King St, London W6 0P",NA,NA
"Sainsbur","Sainsbury's",4.1,"FQVC+6F","3, Kings Mall, King St, London W6 0P",NA,NA
"",NA,3.7,"FQPJ+Q5","Fulham Palace Rd, London W6 8R",NA,NA
"Bo","Boots",3.7,"FRR4+MW","254 Earls Ct Rd, London SW5 9A",NA,NA
"Tesco Superst","Tesco Superstore",4,"FQXG+3C","Tesco Stores Ltd, 180 Shepherds Bush Rd, London W6 7N",NA,NA
"Confidential Clin","Confidential Clinics",5,"FQRP+2H","3 Margravine Gardens, London W6 8R",NA,NA
"Prime Pharm","Prime Pharmacy",4.1,"FQP8+9W","198 Castelnau, London SW13 9D",NA,NA
"Tesco Pharm","Tesco Pharmacy",4.2,"FQVX+5G","W Cromwell Rd, London W14 8P",NA,NA
"Tesco Pharm","Tesco Pharmacy",4.2,"FQVX+5G","W Cromwell Rd, London W14 8P",NA,NA
"CityDoc In-Pharmacy Travel Clinic, Hammersm","CityDoc In-Pharmacy Travel Clinic, Hammersmith",NA,"FQQH+82","Hammersmith Pharmacy, 109 Fulham Palace Rd, London W6 8J",NA,NA
"Boots Pharm","Boots Pharmacy",3,"FRR4+MW","254 Earls Ct Rd, London SW5 9A",NA,NA
"London Homeopa","London Homeopathy",4.8,"FQGW+JF","Fulham Osteopaths, 769 Fulham Rd., London SW6 5H",NA,NA
"Vue Cinema London - Fulham Broad","Vue Cinema London - Fulham Broadway",4.2,"FRJ4+75","Fulham Broadway Centre, Retail Centre, London SW6 1B",NA,NA
"Goddard Veterinary Group, Ful","Goddard Veterinary Group, Fulham",4.2,"FRH6+97","612 King's Rd, London SW6 2D",NA,NA
"Sophia Chemists ( Forre","Sophia Chemists ( Forrest)",4.8,"FQXM+23","67 Blythe Rd, London W14 0H",NA,NA
"Med-Chem Pharm","Med-Chem Pharmacy",3.9,"HWH2+3G","73, Grand Parade, 73 Green Lanes, London N4 1D",NA,NA
"Nhs Pharm","Nhs Pharmacy",4,"HVCP+29","Finsbury Park, Londres N4 3P",NA,NA
"Green Light Pharmacy - Green La","Green Light Pharmacy - Green Lanes",4.1,"HWJ2+Q7","4 Grand Parade, Harringay Ladder, London N4 1J",NA,NA
"Armstrong Pharmacy & Travel Cli","Armstrong Pharmacy & Travel Clinic",3.9,"HW74+MV","279 Green Lanes, Finsbury Park, London N4 2E",NA,NA
"Parade Chem","Parade Chemist",4.8,"HWJ2+78","25 Grand Parade, Green Lanes, Harringay Ladder, London N4 1L",NA,NA
"Park Pharmacy (Offering Pharmacy First Servi","Park Pharmacy (Offering Pharmacy First Service)",4.1,"HV7W+WC","286 Seven Sisters Rd, Finsbury Park, London N4 2A",NA,NA
"Pharmacy ","Pharmacy Nhs",3,"JV9R+8M","325 Green Lanes, London N13 4Y",NA,NA
"Local Pharmacy Onl","Local Pharmacy Online",4.6,"HV78+P2","39 Junction Rd, Archway, London N19 5Q",NA,NA
"Safedale Pharmacy, Weight Loss Cli","Safedale Pharmacy, Weight Loss Clinic",4.5,"HW55+2W","162 Green Lanes, London N16 9D",NA,NA
"Hornsey Road Pharmacy and Travel Cli","Hornsey Road Pharmacy and Travel Clinic",4.6,"HV4Q+CH","84 Hornsey Rd, London N7 7N",NA,NA
"Nonchala","Nonchalante",NA,"HVPX+XX","Wordsworth House, 22 Alfoxton Ave, Harringay Ladder, London N15 3D",NA,NA
"Porter Pharm","Porter Pharmacy",5,"JW47+2M","Great Cambridge Rd, London N17 7B",NA,NA
"Pyramid Pharm","Pyramid Pharmacy",5,"HWJ2+Q6","4 Grand Parade, Green Lanes, Harringay Ladder, London N4 1J",NA,NA
"Chemitex Pharmacy + Travel Clinic + Ear Microsuction + Weight L","Chemitex Pharmacy + Travel Clinic + Ear Microsuction + Weight Loss",4.7,"HV7J+8Q","332 Hornsey Rd, Finsbury Park, London N7 7H",NA,NA
"Rowlands Pharmacy Marlborough Par","Rowlands Pharmacy Marlborough Parade",2.1,"HWC3+6V","274 Green Lanes, Woodberry Down, London N4 2H",NA,NA
"Stearns Pharm","Stearns Pharmacy",4.7,"HVMX+7X","571 Green Lanes, Harringay Ladder, London N8 0R",NA,NA
"Wellcare Pharm","Wellcare Pharmacy",3.5,"GVX5+XG","321 Kentish Town Rd, London NW5 2T",NA,NA
"J C Wise Pharm","J C Wise Pharmacy",4.3,"HV9G+PG","518 Hornsey Rd, Finsbury Park, London N19 3Q",NA,NA
"Good Health Pharm","Good Health Pharmacy",4,"HWPC+3V","112 W Green Rd, South Tottenham, London N15 5A",NA,NA
"Greenwoods Pharmacy, Travel Clinic and Perfum","Greenwoods Pharmacy, Travel Clinic and Perfumery",4.2,"HVWR+H5","17 The Broadway, London N22 6D",NA,NA
"Petter Pharm","Petter Pharmacy",4.5,"HVJG+29","51 The Broadway, London N8 8D",NA,NA
"Arkle Pharm","Arkle Pharmacy",4.4,"HV78+P2","39 Junction Rd, Archway, London N19 5Q",NA,NA
"Dev's Chem","Dev's Chemist",3.6,"HV5M+WR","110 Seven Sisters Rd, London N7 6A",NA,NA
"Saigrace Pharm","Saigrace Pharmacy",3.2,"HVMM+C9","93 Tottenham Ln, London N8 9B",NA,NA
"Wellcare Pharmacy + Travel Clinic + Yellow Fever Cen","Wellcare Pharmacy + Travel Clinic + Yellow Fever Centre",4.2,"HV5H+X4","552 Holloway Rd, London N7 6J",NA,NA
"All Cures Pharm","All Cures Pharmacy",3.2,"HWP5+95","331 W Green Rd, London N15 3P",NA,NA
"Pharmacy Expr","Pharmacy Express",4.2,"HVXQ+6V","214 High Rd, London N22 8H",NA,NA
"Sia Pharm","Sia Pharmacy",4.2,"HVQR+JC","113 Turnpike Ln, Harringay Ladder, London N8 0D",NA,NA
"Sia Pharm","Sia Pharmacy",4.2,"HVQR+JC","113 Turnpike Ln, Harringay Ladder, London N8 0D",NA,NA
"The Harrow Pharm","The Harrow Pharmacy",3.9,"HMP9+Q3","73 Station Rd, Harrow HA1 2T",NA,NA
"Pharm","Pharmacy",1,"HJGH+MJ","382 Rayners Ln, Rayners Lane, Harrow, Pinner HA5 5E",NA,NA
"Rushton Dispensing Chemi","Rushton Dispensing Chemists",4.2,"HPF4+88","292 Preston Rd, Wembley, Harrow HA3 0Q",NA,NA
"North Harrow Pharmacy - Earwax, Travel & Weight Cli","North Harrow Pharmacy - Earwax, Travel & Weight Clinic",4.9,"HJQP+7Q","509 Pinner Rd, North Harrow, Harrow HA2 6E",NA,NA
"Healthways Pharm","Healthways Pharmacy",4.8,"HJGH+JJ","382 Rayners Ln, Rayners Lane, Harrow, Pinner HA5 5D",NA,NA
"ProCare Pharmacy - Travel Clinic & Approved Yellow Fever Centre - Belmont Circle & Kenton L","ProCare Pharmacy - Travel Clinic & Approved Yellow Fever Centre - Belmont Circle & Kenton Lane",3.9,"Amigable","5 Warwick Parade Kenton Ln, Belmont Cir, Harrow HA3 8S",NA,NA
"Nowells Pharmacy + Travel Clinic + Yellow Fever Cen","Nowells Pharmacy + Travel Clinic + Yellow Fever Centre",4.5,"JM36+93","10 Weald Ln, Harrow HA3 5E",NA,NA
"Rushton Pharmacy Harrow - Travel Clinic & Vaccination Cli","Rushton Pharmacy Harrow - Travel Clinic & Vaccination Clinic",4.7,"HPF4+33","277 Preston Rd, Harrow HA3 0P",NA,NA
"Belmont Pharmacy + Travel Clinic + Yellow Fever Cen","Belmont Pharmacy + Travel Clinic + Yellow Fever Centre",4.5,"JM2J+99","5, Station Parade, Belmont Cir, Stanmore HA3 8S",NA,NA
"Keencare Pharmacy - Har","Keencare Pharmacy - Harrow",3.9,"HMJ7+3R","18 College Rd, Harrow HA1 1B",NA,NA
"Reems Pharmacy + Travel Cli","Reems Pharmacy + Travel Clinic",3.9,"JM79+67","107 Uxbridge Rd, Harrow HA3 6D",NA,NA
